Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Pruneridge Golf Club,info@pruneridgegolfclub.com,https://www.pruneridgegolfclub.com/,408-248-4424,https://www.pruneridgegolfclub.com/,"Santa Clara, CA","Golf, instruction and events","Pruneridge combines public golf, range practice, fittings, leagues, camps and corporate events; a service-selector and event-planning content pack can clarify several distinct customer paths.",2026-09-15,"Current owned site lists 400 N Saratoga Ave, Santa Clara, public phone/email and active golf/event offerings.",YES,,pruneridgegolfclub,info@pruneridgegolfclub.com,pruneridgegolfclub.com,4082484424
Holiday Inn Express Santa Clara,agm.hiesantaclara@engagehospitality.com,https://www.ihg.com/,408-241-0100,https://www.ihg.com/,"Santa Clara, CA",Hotel and group travel,"The Santa Clara hotel has a location-specific stay and group-travel path; local-area, meeting and booking-prep content can make the property easier to evaluate.",2026-09-15,"Current official IHG property contact publishes the Santa Clara location and the current Engage Hospitality inbox; older Chamber email was not retained.",YES,,holidayinnexpresssantaclara,agm.hiesantaclara@engagehospitality.com,ihg.com,4082410100
Los Gatos Garden Inn,info@losgatosgardeninn.com,https://www.losgatosgardeninn.com/,408-354-6446,https://www.losgatosgardeninn.com/,"Los Gatos, CA","Hotel, suites and meetings","The inn offers rooms, executive suites and meeting/event options; stay-type, local-visit and meeting-use-case content can clarify its distinct purchase paths.",2026-09-15,"Current owned site lists 46 E Main St, Los Gatos, public email/phone and active lodging/meeting information.",YES,,losgatosgardeninn,info@losgatosgardeninn.com,losgatosgardeninn.com,4083546446
CordeValle Resort and Golf,concierge@cordevalle.com,https://www.cordevalle.com/,408-695-4500,https://www.cordevalle.com/,"San Martin, CA","Resort, golf and events","CordeValle combines resort stays, golf and event experiences; itinerary, golf/stay and event-planning content can explain real customer choices without centering alcohol.",2026-09-15,"Current owned site lists One CordeValle Club Dr, San Martin, concierge inbox and active resort/golf/event paths.",YES,,cordevalleresortgolf,concierge@cordevalle.com,cordevalle.com,4086954500
Nothing Bundt Cakes Sunnyvale,sunnyvale@nothingbundtcakes.com,https://www.nothingbundtcakes.com/,408-749-7000,https://www.nothingbundtcakes.com/,"Sunnyvale, CA","Bakery, cakes and catering","The Sunnyvale bakery supports everyday cakes, celebrations, catering and fundraising; occasion, sizing and ordering-timeline content can make those choices easier.",2026-09-15,"Current official location page lists 939 W El Camino Real, Sunnyvale, location-specific email/phone and active cake/catering paths.",YES,,nothingbundtcakessunnyvale,sunnyvale@nothingbundtcakes.com,nothingbundtcakes.com,4087497000
Illusive Comics & Games,anna@illusivecomics.com,https://illusivecomics.com/,408-985-7481,https://illusivecomics.com/,"Santa Clara, CA","Comic and game retail, events","Illusive combines comics, games, collectibles and in-store events; beginner guides, event previews and product-discovery content can turn a broad catalog into clearer customer paths.",2026-09-15,"Current owned site is active with 2026 products/events; current Chamber evidence publishes the business-intended Anna inbox and Santa Clara location.",YES,,illusivecomicsgames,anna@illusivecomics.com,illusivecomics.com,4089857481
Sousa's Garage Doors,sousasgd@gmail.com,https://sousasgaragedoors.com/,408-248-0782,https://sousasgaragedoors.com/,"Santa Clara, CA",Residential and commercial garage doors,"Sousa's offers custom residential and commercial garage-door work; style, material and project-prep content can help buyers understand options before requesting service.",2026-09-15,"Current owned site ©2026 lists 298 Brokaw Rd, Santa Clara, current Gmail inbox and phone; stale Chamber contact was replaced.",YES,,sousasgaragedoors,sousasgd@gmail.com,sousasgaragedoors.com,4082480782
Club Auto Sport,events@clubautosport.net,https://clubautosport.net/,408-428-0428,https://clubautosport.net/,"San Jose, CA",Event venue and automotive club,"Club Auto Sport publishes corporate and social event use cases; venue-layout, event-type and inquiry-prep content can support its booking path without centering unrelated memorabilia.",2026-09-15,"Current owned site lists 521 Charcot Ave, San Jose and a current event-specific inbox.",YES,,clubautosport,events@clubautosport.net,clubautosport.net,4084280428
Pump It Up Santa Clara,ca.santaclara@pumpitupparty.com,https://www.pumpitupparty.com/santa-clara-ca/,,https://www.pumpitupparty.com/santa-clara-ca/,"Santa Clara, CA",Kids parties and group events,"Pump It Up offers birthday and group-event packages; party-type, planning and first-visit content can make package selection easier for families.",2026-09-15,"Current official Santa Clara location page publishes 2919 Mead Ave and the location-specific inbox.",YES,,pumpitupsantaclara,ca.santaclara@pumpitupparty.com,pumpitupparty.com,
We Start Gardens,westartgardens@gmail.com,https://westartgardens.org/,,https://westartgardens.org/,"San Jose, CA","Garden programs, classes and events","We Start Gardens combines classes, garden programs, events and venue use; program-selection and event-preview content can explain multiple participation paths.",2026-09-15,"Current owned site has 2026 events and publishes the public Gmail inbox for the San Jose garden program.",YES,,westartgardens,westartgardens@gmail.com,westartgardens.org,
Cucina Venti,info@cucinaventi.com,https://cucinaventi.com/,650-254-1120,https://cucinaventi.com/,"Mountain View, CA",Restaurant and private events,"Cucina Venti combines dining and private-event booking; occasion, menu and event-planning content can make those revenue paths easier to discover.",2026-09-15,"Current owned site lists 1390 Pear Ave Ste D, Mountain View and a public info inbox.",YES,,cucinaventi,info@cucinaventi.com,cucinaventi.com,6502541120
Shoreline Golf Links,events@shorelinelinks.com,https://www.shorelinelinks.com/,650-903-4653,https://www.shorelinelinks.com/,"Mountain View, CA",Golf and private/corporate events,"Shoreline combines golf with private and corporate events; tee-time, outing and event-use-case content can clarify several customer journeys.",2026-09-15,"Current official site lists 2940 N Shoreline Blvd and current event/general contact paths.",YES,,shorelinegolflinks,events@shorelinelinks.com,shorelinelinks.com,6509034653
Mainstream Boutique Morgan Hill,morganhill@mainstreamboutique.com,https://mainstreamboutiquemorganhill.com/,408-612-8594,https://mainstreamboutique.com/pages/morganhill,"Morgan Hill, CA",Women's boutique and styling,"The locally owned Morgan Hill boutique offers styling, private shopping parties and closet audits in addition to retail; service and event content can highlight those local paths.",2026-09-15,"Current official location page lists 1049 Cochrane Rd Suite 100, owner Karen France, location email/phone and current store services.",YES,,mainstreamboutiquemorganhill,morganhill@mainstreamboutique.com,mainstreamboutiquemorganhill.com,4086128594
The Ameswell Hotel,info@theameswellhotel.com,https://www.theameswellhotel.com/,650-880-1000,https://www.theameswellhotel.com/,"Mountain View, CA","Hotel, meetings and events","The Ameswell combines lodging with meetings and events; stay, meeting and local-visit content can help guests and planners understand how to use the property.",2026-09-15,"Current owned site lists 800 Moffett Blvd, Mountain View, public info inbox and active meetings/events.",YES,,ameswellhotel,info@theameswellhotel.com,theameswellhotel.com,6508801000
