Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Italix Company,sales@italix.com,https://www.italix.com/,408-988-2487,https://www.italix.com/,"Morgan Hill, CA",Chemical machining and metal finishing,"Italix publishes quote-driven precision metal services; process, capability and quote-prep content can help buyers understand which finishing.",2026-09-15,italix,sales@italix.com,italix.com,4089882487
Mirapath,solutions@mirapath.com,https://mirapath.com/,877-647-2728,https://mirapath.com/,"Cupertino, CA",Data center and IT infrastructure,"Mirapath publishes AI-ready data-center, infrastructure and lifecycle services; solution-comparison and project-readiness content can clarify.",2026-09-15,mirapath,solutions@mirapath.com,mirapath.com,8776472728
Cosmic Coffee Company,support@cosmiccoffeeco.com,https://cosmiccoffeecompany.com/,,https://cosmiccoffeecompany.com/,"Santa Clara, CA",Coffee roaster and ecommerce,"Cosmic Coffee sells roasted coffee through a current ecommerce path; roast, origin, brewing and gift-oriented content can make product.",2026-09-15,cosmiccoffee,support@cosmiccoffeeco.com,cosmiccoffeecompany.com,
Graphics Cat,michelle@graphicscat.com,https://www.graphicscat.com/,510-708-6584,https://www.graphicscat.com/,"Santa Clara County service area, CA",Graphic design and promotional products,"Graphics Cat combines design with promotional products, creating a useful service-selector and project-brief content angle for local business.",2026-09-15,graphicscat,michelle@graphicscat.com,graphicscat.com,5107086584
Harrell Design + Build,info@harrell-remodeling.com,https://www.harrelldesignbuild.com/,650-230-2900,https://www.harrelldesignbuild.com/palo-alto-remodeling/,"Palo Alto / Mountain View, CA",Residential design and remodeling,"Harrell publishes a full design-build remodeling process; project-type, planning and consultation content can help homeowners understand.",2026-09-15,harrelldesignbuild,info@harrell-remodeling.com,harrelldesignbuild.com,6502302900
May Construction Inc,info@mayconstructioninc.com,https://www.mayconstructioninc.com/,408-294-6763,https://www.mayconstructioninc.com/,"San Jose, CA",Residential design-build remodeling,"May Construction offers design/build remodeling with visually demonstrable project work; process, remodel-type and consultation-prep content.",2026-09-15,mayconstruction,info@mayconstructioninc.com,mayconstructioninc.com,4082946763
IKB Design & Construction,info@ikbinc.com,https://www.ikbinc.com/,650-941-4384,https://www.ikbinc.com/,"Los Altos, CA",Interior design and construction,"IKB combines design and construction, allowing project-fit, process and before/after content to explain how a client moves from concept to.",2026-09-15,ikbdesignconstruction,info@ikbinc.com,ikbinc.com,6509414384
Melinda Mandell Interior Design,design@melindamandell.com,https://melindamandell.com/,650-282-5256,https://melindamandell.com/,"Palo Alto, CA",Interior design,"Melinda Mandell publishes a project-based interior-design service; process, room/project type and consultation-readiness content can make the.",2026-09-15,melindamandellinteriordesign,design@melindamandell.com,melindamandell.com,6502825256
La Corneta Taqueria Palo Alto,lacornetapa@gmail.com,https://lacorneta.com/,650-656-9958,https://lacorneta.com/,"Palo Alto, CA",Restaurant and catering,"La Corneta's Palo Alto location supports restaurant and catering decisions; menu, occasion and catering-order guidance provide concrete.",2026-09-15,lacornetataqueriapaloalto,lacornetapa@gmail.com,lacorneta.com,6506569958
Barry Johnson Design,barry@barryjohnsondesign.com,https://www.barryjohnsondesign.com/,650-473-9699,https://www.barryjohnsondesign.com/,"Palo Alto, CA",Interior design,"Barry Johnson Design has a visual project portfolio and consultation path suited to project-selection, process and before/after storytelling.",2026-09-15,barryjohnsondesign,barry@barryjohnsondesign.com,barryjohnsondesign.com,6504739699
Color Me Mine Palo Alto,paloalto@colormemine.com,https://paloalto.colormemine.com/,650-550-1111,https://paloalto.colormemine.com/,"Palo Alto, CA",Pottery painting studio and parties,Color Me Mine Palo Alto combines walk-in pottery painting with parties and events; visit-vs-party guides and event planning content can make.,2026-09-15,colormeminepaloalto,paloalto@colormemine.com,paloalto.colormemine.com,6505501111
Pacific Ballet Academy,director@pacificballet.org,https://www.pacificballet.org/,650-969-4614,https://www.pacificballet.org/,"Mountain View, CA",Ballet school and performances,"Pacific Ballet Academy publishes classes, trials and 2026 performance activity; level-selection, first-class and performance-preview content.",2026-09-15,pacificballetacademy,director@pacificballet.org,pacificballet.org,6509694614
Ethel's Fancy,events@ethelsfancypa.com,https://www.ethelsfancypa.com/,,https://www.ethelsfancypa.com/,"Palo Alto, CA",Restaurant and private events,"Ethel's Fancy combines dining with private-event bookings; dining-vs-event, occasion and inquiry-prep content can expose multiple revenue paths.",2026-09-15,ethelsfancy,events@ethelsfancypa.com,ethelsfancypa.com,
