Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
MG Constructors & Engineers Inc.,info@mgconstructors.net,https://www.mgconstructors.net/,408-842-5599,https://www.mgconstructors.net/,https://www.mgconstructors.net/our-company,"Morgan Hill, CA","Engineering, structural inspection and construction","MG combines civil/structural engineering with residential, commercial and industrial construction; capability and project-type explainers could make its broad technical scope easier for property owners and project partners to understand.",2026-09-13,"Current owned site lists Morgan Hill address, public email/phone, license and active engineering/construction services.",YES,,mgconstructorsengineers,info@mgconstructors.net,mgconstructors.net,4088425599
Spina Farms Pumpkin Patch,info@spinafarmspumpkinpatch.com,https://spinafarmspumpkinpatch.com/,650-763-6935,https://spinafarmspumpkinpatch.com/about/,https://spinafarmspumpkinpatch.com/,"Morgan Hill, CA","Seasonal farm attraction and family entertainment","Spina Farms opens its 2026 season on September 17 and publishes six attractions plus food/family activities; clear attraction, visit-planning and seasonal-event content is unusually timely without inventing urgency.",2026-09-13,"Current owned site lists Morgan Hill location, public email/phone, 2026 opening date, calendar and new 2026 attraction information.",YES,,spinafarmspumpkinpatch,info@spinafarmspumpkinpatch.com,spinafarmspumpkinpatch.com,6507636935
Termite Biz,info@termitebiz.com,https://termitebiz.com/,800-840-5621,https://termitebiz.com/,https://termitebiz.com/,"Morgan Hill, CA","Termite inspection, home inspection and pest services","Termite Biz combines home inspection and termite/extermination services; educational content around inspection timing, what an inspection covers and repair/remedy categories can reduce confusion without making fear-based pest claims.",2026-09-13,"Current public owned site lists Morgan Hill mailing address, public email/phone, license information and inspection/extermination services.",YES,,termitebiz,info@termitebiz.com,termitebiz.com,8008405621
Morgan Hill Granary,info@morganhillgranary.com,https://www.morganhillgranary.com/,408-779-6686,https://www.morganhillgranary.com/,https://www.morganhillgranary.com/,"Morgan Hill, CA","Event venue and community space","The Granary is a distinctive Morgan Hill venue at a recognizable historic property; event-format, venue-feature and planning-checklist content can help prospective hosts understand what the space is suited for.",2026-09-13,"Current owned site lists 17500 Depot Street, Morgan Hill, public email/phone and venue contact information.",YES,,morganhillgranary,info@morganhillgranary.com,morganhillgranary.com,4087796686
Daley's Drywall & Taping Inc.,info@daleysdrywall.com,https://daleysdrywall.com/,408-374-7626,https://daleysdrywall.com/contact/,https://daleysdrywall.com/services/,"Campbell, CA","Drywall, framing, ceilings, insulation and commercial construction","Daley's is more than a drywall installer, with metal framing, plaster, ceilings, insulation, siding, carpentry, prefab and BIM; a capability map can make that trade scope easier for general contractors and property owners to scan.",2026-09-13,"Current owned contact/services pages list Campbell headquarters, public email/phone, license and active Bay Area construction services.",YES,,daleysdrywalltaping,info@daleysdrywall.com,daleysdrywall.com,4083747626
Mimosas Brunch & Bubbles,info@mimosasbnb.com,https://mimosasbnb.com/,408-628-4419,https://mimosasbnb.com/campbell-mimosas-brunch-and-bubbles-contact-us,https://mimosasbnb.com/campbell-mimosas-brunch-and-bubbles-contact-us,"Campbell, CA","Brunch restaurant and hospitality","Mimosas publishes a Campbell location, reservations/contact workflow and focused brunch identity; menu highlights, celebration occasions and first-visit content can give local diners concrete reasons to choose a visit.",2026-09-13,"Current owned contact page lists Campbell address, public email/phone and operating hours.",YES,,mimosasbrunchbubbles,info@mimosasbnb.com,mimosasbnb.com,4086284419
All Bay Refrigeration Service,info@allbayrefrigerationservice.com,https://allbayrefrigerationservice.com/,408-690-4527,https://allbayrefrigerationservice.com/,https://allbayrefrigerationservice.com/,"San Jose, CA","Commercial refrigeration installation, repair and maintenance","All Bay focuses on business refrigeration installation, repair and maintenance; maintenance-vs-repair, equipment-type and service-response explainers can help restaurant and retail operators understand when to call.",2026-09-13,"Current owned site lists San Jose address, public email/phone, license/bond data, 2026 copyright and commercial refrigeration services.",YES,,allbayrefrigerationservice,info@allbayrefrigerationservice.com,allbayrefrigerationservice.com,4086904527
DTK Nail Supply,info@dtknailsupply.com,https://dtknailsupply.com/,800-396-1060,https://dtknailsupply.com/,https://dtknailsupply.com/,"San Jose, CA","Wholesale nail supplies and beauty retail","DTK sells polish, nail-art, extensions, tools and professional products while actively publishing 2026 trend guides; product-selection, trend and professional-use content has a direct commerce path without inventing a customer problem.",2026-09-13,"Current owned ecommerce site lists San Jose address, public email/phone, active 2026 content, products and local store hours.",YES,,dtknailsupply,info@dtknailsupply.com,dtknailsupply.com,8003961060
Pure Clean Naranjo,mine@purecleannaranjo.com,https://www.purecleannaranjo.com/,408-843-7086,https://www.purecleannaranjo.com/,https://www.purecleannaranjo.com/,"Morgan Hill, CA","Residential and commercial cleaning","Pure Clean Naranjo offers one-time, recurring and commercial/residential cleaning with eco-friendly product positioning; service-frequency and cleaning-type explainers could simplify the quote decision.",2026-09-13,"Current owned site lists Morgan Hill location, public email/phone, cleaning services and 2026 copyright.",YES,,purecleannaranjo,mine@purecleannaranjo.com,purecleannaranjo.com,4088437086
Ventwerx HVAC Heating & Air Conditioning,info@ventwerx.com,https://ventwerx.com/,408-710-9595,https://ventwerx.com/contact/,https://ventwerx.com/contact/,"San Jose / Morgan Hill, CA","HVAC heating and air conditioning","Ventwerx serves San Jose and Morgan Hill from a local office; seasonal maintenance, repair-vs-replacement and homeowner FAQ content can make HVAC decisions easier without inventing emergencies.",2026-09-13,"Current owned contact page lists Morgan Hill office, San Jose service area, public email/phone, license and 2026 copyright.",YES,,ventwerxhvacheatingairconditioning,info@ventwerx.com,ventwerx.com,4087109595
Nelson Barber and Salon,info@nelsonbarberandsalon.com,https://nelsonbarberandsalon.com/,408-613-2932,https://nelsonbarberandsalon.com/,https://nelsonbarberandsalon.com/services/womens-services/hair-style/,"San Jose, CA","Barber, salon, hair, skin and scalp services","Nelson offers men's and women's hair services plus color, waxing and skin/scalp care; service-introduction and appointment-prep content can help customers understand the broader menu beyond a basic haircut.",2026-09-13,"Current owned site lists San Jose address, public email/phone, service menu and 2026 copyright.",YES,,nelsonbarbersalon,info@nelsonbarberandsalon.com,nelsonbarberandsalon.com,4086132932
Fast Handy Electric,info@fasthandyelectric.com,https://fasthandyelectric.com/,888-481-3335,https://fasthandyelectric.com/,https://fasthandyelectric.com/,"San Jose, CA","Residential, commercial and industrial electrical services","Fast Handy Electric serves homeowners and businesses across the South Bay; upgrade, repair, inspection and project-planning explainers can make electrical services easier to understand without manufacturing safety scares.",2026-09-13,"Current owned site lists San Jose, public email/phone, service areas, 12+ years local experience and 2026 copyright.",YES,,fasthandyelectric,info@fasthandyelectric.com,fasthandyelectric.com,8884813335
Mail Station,info@mail-station.com,https://www.mail-station.com/,408-247-8776,https://www.mail-station.com/,https://www.mail-station.com/,"San Jose, CA","Packing, shipping, mailbox, passport-photo and business services","Mail Station combines multi-carrier shipping, private mailboxes, passport photos, notary and business services; a simple service-selector series could help local customers discover more than package drop-off.",2026-09-13,"Current owned site lists San Jose address, public email/phone, service menu, walk-in availability and 2026 copyright.",YES,,mailstation,info@mail-station.com,mail-station.com,4082478776
Ganado Feed & Pet Supplies,info@ganadofeed.com,https://ganadofeed.com/,408-289-8626,https://ganadofeed.com/,https://ganadofeed.com/sitemap/,"San Jose / Morgan Hill, CA","Feed, pet supplies and specialty retail","Ganado operates San Jose and Morgan Hill locations with feed and pet-supply retail; location-specific product, animal-care category and in-store/event content can help shoppers navigate a specialized inventory.",2026-09-13,"Current owned site lists San Jose and Morgan Hill locations, public emails/phones, current hours and 2026 copyright.",YES,,ganadofeedpetsupplies,info@ganadofeed.com,ganadofeed.com,4082898626
Panthera Prints,info@pantheraprints.com,https://pantheraprints.com/,650-603-1715,https://pantheraprints.com/,https://pantheraprints.com/,"Santa Clara, CA","DTF transfers, UV DTF stickers and custom printing","Panthera Prints serves small and bulk custom-print orders and publishes educational material about transfer types, color modes and application; buyer guides and use-case content fit naturally with its ecommerce model.",2026-09-13,"Current owned site lists Santa Clara address, public email/phone, active March 2026 educational content and printing products.",YES,,pantheraprints,info@pantheraprints.com,pantheraprints.com,6506031715
